MONUMENT_RECORD_NO,KNOWN_AS,EASTING,NORTHING,MONUMENT_TYPE,PERIOD,PERIOD_TEXT,CONSTRUCTION,DEMOLITION,STOREYS,BAYS,ROOF,EXTANT,CONDITION,CLASS,BROAD_TERM,NARROW_TERM,POSTAL_ADDRESS,LISTED_BUILDING_GRADE,LISTED_BUILDING_NO,AMENDED,MONUMENT_DESC,Location 1
1236M,"Albion Dry Dock, Gasferry Road",357745,172358,Dock,PM2,Post-medieval 1700-1900,,,,, ,1,,Maritime,Dock,Dock,"Albion Dry Dock, Chatham Wharf, Cumberland Road",,,36034,"Albion Dry Dock, Gasferry Road. The dock was in existence by the early nineteenth century and is shown as a graving dock on the Ordnance Survey 1st edition map of 1883. It was part of Hilhouse's Shipyard but the yard was bought by Charles Hill & Sons in the latter part of the nineteenth century and was renamed the Albion Dockyard. The dock was extended in the twentieth century.
The dock is approximately 165 metres long and 7.5 metres deep and appears to have cut into the rockhead at least at its southern end. A cast iron caisson closes the northern end of the dock. The walls are constructed of blocks of sandstone as is the floor of the northern part of the dock. The walls on the east and west sides are constructed in a series of five ledges or galleries which vary in size but are roughly 0.5 metres wide by 1.5 metres high.
The dock was the subject of a photographic survey in 1998 [BUAD 3344] in advance of the infilling of its southern end. It was noted that a cannon of probable late eighteenth or early nineteenth century date had been set into the ground at the east side of the dock (NGR ST 5775 7239 approx) to act as a mooring post.","(51.448622, -2.6094414)"
611M,The Nails,358845,173019,Nail,PM1,Post-medieval 1540-1700,,,,,None,1,,Commercial,Market,Market,Corn Street,,,35367,"The Bristol Nails. Four bronze pillars set in the footway in front of The Exchange on the southern side of Corn Street (at ST 58858 73022, ST 58848 73017, ST 58841 73012 and ST 58834 73007) which were used for trading: according to Pryce (Anon., 1859 275) ""upon them our merchants of a former day paid for their purchases . Hence, I believe, originated the phrase, 'pay down upon the nail'. Vignettes in the border Millerd's 1673 map of Bristol indicate that at that date there were nine Nails, three between the columns supporting the pentice of the Tolzey on the north side of Corn Street, and the remainder beneath a similar structure in front of All Saint's Church on the opposite side of the street. The four surviving pillars are reported to have been moved to their present position in 1782 (Anon., 1859 276).
There appears to have been very little archaeological study of the Nails, the only known detailed record being the drawings by Lepard made in the late 1850s (BUAD 3716; Anon., 1858 340-341). The surviving pillars date to the late-sixteenth and early-seventeenth century and three bear inscriptions commemorating their donors. The earliest, at the north-east end of the group, is undated but has been dated on stylistic grounds to the late-Elizabethan period. The remainder date to between 1625 and 1631.
The Nails have a Grade I listing (Listed Building number 901-1/11/580).","(51.454646, -2.5936904)"
1206M,Chapel of St. Clement,358678,172699,Chapel,Med,Medieval 1200-1540,1493,,,,Unknown,0,,"Religious, Ritual and Funerary",Place of worship,Chapel,"Venturer's House, Marsh Street",,,38532,"Chapel of St. Clement, located at the south end of Marsh Street. The site, immediately outside the Marsh Wall (BUAD 1041M) on the east side of the Marsh Gate (BUAD 677M), was leased by the Corporation to John Drewe on 14 March 1493 so that the Guild of Mariners could found a chantry chapel dedicated to St. Clement, the patron saint of mariners (Manchee 1831, 237). Once built, the chapel appears to have been managed by proctors appointed by the Guild and had a one priest who presumably also served the Mariners Almshouse. In addition, as part of the annual rent to the Bristol Corporation for the site the proctors were responsible for managing and maintaining the slip at Hungroad (McGrath 1975, 70).
The chapel was a rectangular two-storey structure, orientated east-west, with projecting buttresses at the south-west and south-east corners and a pitched roof. The main entrance, a doorway with a four-centred arched opening, was at the centre of the south wall. To the west of the doorway were a pair of tall four-light lancet windows. The fenestration at first-floor level consisted of a two-light lancet window towards the western end of the elevation. There was a second similar window above the entrance. In the eastern half of the elevation there was a pair of four-light mullion and transom windows - possibly inserted during the use of the building as the Merchant Venturers Hall. The organisation of internal space is not currently clear but the internal dimensions were recorded as 67 feet 6 inches [20.66 metres] from east to west by 23 feet [7.04 metres] north-south, the walls being about 2 feet 6 inches [0.77 metres] to 3 feet [0.92 metres] in thickness (Pritchard 1907, 226-227).
The chapel was presumably dissolved in 1547-1548 along with the Guild of Mariners. The site was granted to Sir Ralph Sadleir and Lawrence Winnyngton by the Crown on 15 December 1550, and Sadleir and Winnyngton subsequently sold the site to Edward Prynne. His heir, Erasmus Prynne, sold the site to Thomas Aldworthe and Thomas Symonds (Manchee 1831, 237) who were apparently acting for the Society of Merchant Venturers. The Society used the chapel as its hall and also took over responsibility for the Mariner's Almshouse. The building appears essentially to have been retained by the Society and, despite remodelling of the exterior, the core of the building seems to have survived as the southern element of the Merchant Venturers Hall until the early-twentieth century. The remains of the chapel were recorded in 1907 in the lower storey of the hall (Pritchard 1907, 226-227). Air raids struck the hall on 2 December 1940, causing extensive damage. It was bombed again on 16 March 1941 and then on 14 May, this time causing irrevocable damage to the remaining elements of the structure (McGrath 1975, 459-461). It remained derelict for several years after the war while the Society considered whether to rebuild the hall. Finally, in 1955, the site was sold and it was subsequently redeveloped.","(51.451757, -2.5960562)"
356M,"The Lamb Inn, 50, Wine Street",358983,173092,House,PM1,Post-medieval 1540-1700,,,,,Gabled front,0,,Domestic,Dwelling,House,Wine Street,,,38761,"The Lamb Inn, No.50 Wine Street, located on the southern side of Wine Street roughly opposite the junction with Pithay. The Lamb Inn had been established on the site by 1586 (BRO 00347(5)) and was then or lately in the tenure of John Austine, saddler. In 1626 the foeffees of the Whitson Lands granted a lease to John Bradway with a convenant to allow rebuilding. In 1670 the inn was held by Thomas Biggs and probate inventories made at the time of his death in 1677 and his wife's death in 1687 record the rooms and their contents. The inventory for Biggs mentions fifteen rooms for accommodation, kitchen and buttery, and brewhouse (George & George 2005, 80-85). Ten years later the arrangement of the rooms was essentially the same, with additionally a cellar, stables and turret recorded (George & George 2005, 156-160). In 1698 the inn was leased to Onesiphorous Tyndall with the requirement to spend £200 on the building. In 1700 two stables and the rooms over them were purchased from Bradway by Tyndall (Leech 1997, 197).
When it was drawn in 1823 (BRSMG M2357; M2358), the building was a gabled, jettied house of three storeys and attic with a three-window range. It was of probable seventeenth-century date, and the façade presumably dated mainly to the rebuilding by Tyndall. The ground floor was largely occupied by a shopfront with a central entrance and windows on its east and west sides. At the west end of the façade at ground floor there was a gabled porch with carving below gable covering an entrance with fretwork gates. At first-floor level there was a wide canted bay with ten lights, and one light to each end. The jettied second floor was supported by a bracket at its eastern end. The fenestration comprised three six by six pane sash windows. The gable end was hung with slates or tiles and at the centre there was a six-light transomed window under a drip-moulding. The gabled roof was pantiled. Evidence for the interior of the building comes from a drawing made by Hugh O'Neill in 1823 during demolition of the building. The eastern wall of the building is all that remains and this is supported by long timber props. Seventeenth-century, or earlier, fireplaces are recorded in the western wall of the building (towards its northern end) at ground-, first- and second-floor levels. A number of doors and sections of panelling are shown propped against the wall.
The porch is likely to have led to the stables and rooms to the rear of the main building. Latterly it appears to have served a building at the rear, probably No.51 Wine Street. In notes accompanying a painting by O'Neill made before demolition (BRSMG M2357) G. W. Braikenridge records that ""under the Porch late the Warehouse of Messrs. Holland Jackson & Schimmelpenning Dry Salters was formerly the Lamb Inn .... & the House has from the arrangement of the Rooms all the appearance of having been built for an Inn"" (Notes, B7). The warehouse was listed at No.51 Wine Street in the 1819 Bristol directory.","(51.455312, -2.5917129)"
1931M,"Old Limekiln, Sheep Wood",357080,178420,Lime kiln,PM2,Post-medieval 1700-1900,,,,, ,0,,Industrial,Kiln,Lime kiln, ,,,38625,"Old Limekiln"" Gloucestershire LXXI.4 (1915).","(51.503075, -2.6197486)"
5508M,"Public House, Park Row",358205,173108,Public House,PM2,Post-medieval 1700-1900,,,,, ,1,,Commercial,Licensed premises,Public House, ,,,,,"(51.455399, -2.6029112)"
5509M,"Public House, College Place",358253,172821,Public House,PM2,Post-medieval 1700-1900,,,,, ,0,,Commercial,Licensed premises,Public House, ,,,,,"(51.452822, -2.6021865)"
5510M,Boars Head,358237,172848,Public House,PM2,Post-medieval 1700-1900,,,,, ,0,,Commercial,Licensed premises,Public House, ,,,,,"(51.453064, -2.6024199)"
5512M,Iron Foundry in Boars Head Yard,358252,172849,Foundry,PM2,Post-medieval 1700-1900,,,,, ,0,,Industrial,Metal product site,Iron Foundry, ,,,,,"(51.453074, -2.6022042)"
5513M,Malthouse in Boards Head Yard,358216,172860,Malt house,PM2,Post-medieval 1700-1900,,,,, ,0,,Industrial,Brewing and Malting site,Malt house, ,,,,,"(51.45317, -2.6027235)"
5514M,"Public House, Park Row",358248,173093,Public House,PM2,Post-medieval 1700-1900,,,,, ,0,,Commercial,Licensed premises,Public House, ,,,,,"(51.455268, -2.6022906)"
5515M,Public House on College Place,358266,172800,Public House,PM2,Post-medieval 1700-1900,,,,, ,0,,Commercial,Licensed premises,Public House, ,,,,,"(51.452634, -2.6019969)"
3234M,Mesolithic surface at Katherine Farm,353417,179633,Buried land surface,PR,Prehistoric,,,,,,0,,Unassigned,Archaeological feature,Buried land surface,,,,40197,"A Buried land surface recorded during evaluation and subsequent excavation at Katherine Farm, Avonmouth (21420 and 21421). The deposit was identified at approximately 5m aOD and was radiocarbon dated to 5879 +/- 70 BP (NZA-12478) and 6866 +/- 50 BP (NZA-12495) (4910-4550 cal BC and 5790-5590 cal BC) from samples taken from the top and bottom of the deposit. Analysis of the deposit suggested that it had formed in a semi-terrestrial environment and that reed like vegetation had been present. Charcoal fragments within the deposit might suggest burning of this vegetation as a result of human acticvitiy, although no direct anthropogenic evidence was recovered.","(51.51369, -2.672679)"
3236M,Medieval ditch at Katherine Farm,353475,179679,Ditch,Med,Medieval 1200-1540,,,,,,0,,Monument,Ditch,Ditch,,,,40197,Two medieval ditches recorded during evaluation and excavation at Katherine Farm in 1998. Artefact recovered from the fills of these ditches suggest a 13th-14th century date and are likely to be associated with agricultural enclosure and drainage of the levels. Other finds frm the fills including fired clay suggest that the nearby Katherine Farm has a medieval date of origin.,"(51.514108, -2.6718494)"
3097M,Army Ordnance Department (A.O.D.) store north of Washingpool Farm,353423,181651,Storehouse,Mod,Modern 1900-,,,,, ,0,,Defence,Building,Storehouse,Severn Road,,,38786,"Army Ordnance Department (A.O.D.) store located appro9ximately 110 metres to the north of Washingpool Farm. The store was built in 1918 to serve National Filling Factory No.23 and is recorded by a plan in the National Archives (MUN 4/1753) dated 27 November 1918. The building measured approximately 60 metres from east to west and was 10 metres wide.
The shell of the building was extant in 1946 but the roof had been removed by that date. The remainder of the structure was subsequently demolished.","(51.531834, -2.67286)"
3098M,"Southern hospital at National Filling Factory No.23, Chittening",353169,180968,Hospital,Mod,Modern 1900-,,,,, ,0,,Health and welfare,Hospital,Hospital,Worthy Road,,,38786,"Southern of two hospital serving National Filling Factory No.23, Chittening. The hospital was located on the southern side of Smoke Lane and was built in 1918. It is recorded by a plan in the National Archives (MUN 4/1753) dated 27 November 1918 and had a cruciform plan.
The building was extant in 1946 but was subsequently demolished. Part of the south wall survives.","(51.525672, -2.6764305)"
3099M,"Inspection offices at National Filling Factory No.23, Chittening",353170,181070,Office,Mod,Modern 1900-,,,,, ,0,,Unassigned,Building,Office,Severn Road,,,38786,"Inspection offices for the National Filling Factory No.23, Chittening, located on the northern side of Smoke Lane. The building was constructed in 1918 and is recorded by a plan in the National Archives (MUN 4/1753) dated 27 November 1918. The building measured approximately 40 metres from east to west and was 10 metres wide.
The building was extant in 1946 but was subsequently demolished.","(51.526589, -2.6764296)"
470M,"9, Wine Street",358931,173085,House,PM1,Post-medieval 1540-1700,,,,,Gabled,0,,Domestic,Dwelling,House,Wine Street,,,38947,"No.9 Wine Street, located on the northern side of Wine Street. The building was constructed as the western of a pair of houses with No.10 Wine Street (BUAD 1696M) and was a jettied, gabled house of three-storeys and attic, of which the main, south-east facing, elevation and roof, at least, dated to the seventeenth century. The building had a one-window range with the ground floor comprising a shopfront. Above the fenestration consisted of a single canted bay window containing six-over-six pane sashes. A pentice over this extended across the entire width of the elevation. Theere was a similar bay at second-floor level, again with a full-width pentice roof. The attic window in the centre of the gable contained a pair of casements apparently set in moulded openings. There was an exterior collar above lintel level in the gable. A tall brick chimneystack was sited on the west wall. The building was drawn in 1826 as part of a view of this part of the north side of Wine Street by T. L. Rowbotham (BRSMG M2343). At that date there were large signboards fixed to the pentice roofs and the upper part of the shopfront advertising the building as ""NOTTINGHAM HOUSE"" and the shop as the premises of ""GOSS & FOWLER.""
Doorways through the party wall had been created between Nos.9 and 10 by the late 1880s. The building survived into the first half of the twentieth century but was subsequently removed and the site redeveloped.","(51.455246, -2.5924604)"
530M,Merchant Tailors' Almshouse,359175,173274,Almshouse,PM1,Post-medieval 1540-1700,1701,,,,Hipped,1,,Domestic,Residential building,Almshouse, ,,,35346,"The Merchant Tailor's Almshouse, located on the east side of Merchant Street. The Society of Merchant Tailors' had established its almshouse in four tenements it owned on the western side of Merchant Street by 1630 (Fox, 1880 25). Its role seems to have been to provide accommodation for members of the Company in reduced circumstances, in accordance with the responsibility placed on the wardens by the charters which established the Company at the end of the fourteenth century.
The present building was erected as a replacement for the earlier almshouse in 1701, largely using the Company's own funds. The building is of two storeys with ranges arranged on three sides of a central courtyard to give a U-shaped plan. It is a rendered brick structure (one of the earliest brick buildings in Bristol) with ashlar dressings. The main entrance doorway has a bracketed shell hood and above is a large, painted panel bearing the arms of the Merchant Tailor's Guild, and flanking it the inscription ""ANNODM/1701."" The almshouse was designed to provide accommodation for nine people, with each range of the building having three individual dwellings.
By the late 1820s the Company of Merchant Tailors' was effectively defunct, having only one surviving member, a Mr. Isaac Amos (Manchee, 1831 205). The almshouse was inspected around the same time and was described as ""a handsome and capacious building, well adapted for the accommodation and comfort of the description of persons for whom it was designed; but in its present state, and under the circumstances to which the company . is reduced, it must be considered as producing very little benefit as a charity, and as depending for its continuance on a very precarious support"" (Manchee, 1831 222).
The building has a Grade II* listing (Listed Building number 901-1/40/485).","(51.456963, -2.5889708)"
532M,"21, Wine Street",358978,173104,House,PM1,Post-medieval 1540-1700,,,,,Hipped,0,,Domestic,Dwelling,House,"Vintry House, Wine Street",,,35348,"No.21 Wine Street. The building was located on the north side of the street, the third to the east of Pithay. It was a four-storey, two-bay jettied house, although it appears to have originally been two properties, built as a single development, which were later made into one. The ground floor was a shopfront with entrances at either end. The first floor fenestration was formed by two bays containing sashes, while both the second and third floors contained three-light sashes. The building had a double hipped roof and there was a chimney stack on the west side.
The building, occupied in the later nineteenth-century by E. John's Hat Shop, was demolished in the 1880s for road widening.","(51.45542, -2.5917862)"
567M,"36, Old Market Street",359705,173197,House,PM1,Post-medieval 1540-1700,,,,,Gabled,1,,Domestic,Dwelling,House,36 Old Market Street,,,35360,"No.36 Old Market Street, located on the nrothern side of Old Market Street. The building was probably constructed in the seventeenth century. The roof appears to be gabled and parallel to the street at the front but is hipped to the rear.
In 1875 the building was recorded in the street directory as being occupied by Frederick White, pork butcher.
The building has a Grade II listing (Listed Building number 901-1/12/1642).","(51.456308, -2.5813343)"
2514M,Parish boundary marker stones at Fremantle Lane,358695,174138,Parish boundary,PM2,Post-medieval 1700-1900,,,,, ,1,,Civil,Parish boundary,Parish boundary,Fremantle Lane,,,38625,"Two parish boundary marker stones set, side by side, in a boundary wall on the south side of Fremantle Lane, Cotham. Both stones are of Pennant sandstone and stand to a height of approximately 0.75 metres. The stone was observed in May 2001 and part of an inscription was noted to survive on the western of the two stones. Most of this was illegible but the first letter was ""P"". It was also noted that the surfaces of both were suffering from delamination.","(51.464696, -2.5959801)"
616M,Upper Arcade,359043,173460,Shopping arcade,PM2,Post-medieval 1700-1900,1824,1940,,,Gabled,0,,Commercial,Shopping arcade,Shopping arcade,"John Lewis, The Haymarket",,,35369,"Upper Arcade, a covered shopping arcade on the north side of The Horsefair. The arcade, one of the earliest in the country, was constructed in 1824 to a design by James Foster jun. (Ison, 1952 34) and ran from south-east to north-west between The Horsefair and Bond Street. It was the northern half of a long arcade divided by The Horsefair. The design was in a Greek Revival style and clearly drew on that of the Burlington Arcade in London of 1818 (Morrison, 2003 101). It consisted of a central footway 92 metres long with shops on its eastern and western sides. The divisions between the thirty-seven shops were marked by fluted classical pilasters. The arcade had a pitched glass-panelled roof supported on what appear to have been moulded cast iron roof trusses. There were iron gratings to provide ventilation between the roofline and the shops.
The arcade was destroyed by bombing during the Second World War (Warne, 1943 15) and the site redeveloped in the mid 1950s for a department store.","(51.458625, -2.5908921)"
617M,Lower Arcade,359083,173373,Shopping arcade,PM2,Post-medieval 1700-1900,1824,,,,Mansard,1,,Commercial,Shopping arcade,Shopping arcade,"Lower Arcade, The Horsefair",,,38041,"Lower Arcade, a covered shopping arcade located on the northern side of Broadmead. The arcade, one of the earliest in the country, was constructed in 1824 to a design by James Foster jun. (Ison, 1952 34) and runs from south-east to north-west between Broadmead and The Horsefair. It was the southern half of a long arcade divided by The Horsefair, the northern half, the Upper Arcade (BUAD 616M), being destroyed by bombing during the Second World War.
The design clearly drew on that of the Burlington Arcade in London of 1818 (Morrison, 2003 101) and was in a Greek Revival style. The external, south-facing, elevation on Broadmead front has a Pennant sandstone ashlar plinth supporting a freestone ashlar façade and fluted Ionic columns on either side of the entrance. On either side of these are plate-glass shopfronts flanked by pilasters. Above is an entablature bearing the legend ""THE ARCADE"" with a frieze of palmettes above and a tall parapet.
Internally the arcade consists of a central footway 82 metres long with shops on its eastern and western sides. Large two-storey Ionic pilasters between pairs of shops support architraves on either of the arcade. Above is a frieze containing decorative iron grilles for a ventilation system. The cornice over the frieze supports wide, triangular-section cast-iron cross-members, panelled on the lower side and with moulded lion's heads on the faces. Between these large skylights provide the light for the central walkway. The individual shops are single-bay units of three storeys and attic with a basement and are constructed of brick bonded in a grey-white lime mortar with charcoal inclusions. They originally appear to have conformed to a similar plan, each pair of shops having a mirrored plan. The ground floor originally consisted of a single-bay shop with a recessed entrance doorway on the northern or southern side. In the northern or southern corner at the rear of the shop there was a spiral stair which served all floors of the building. A partition wall separated off a small rectangular storeroom from the main area of the shop. The ground-floor storeroom and the landings for the stair on the upper floors were accommodated in a projecting rear block. At first- and second-floor the stair opened on to a small landing with a short rail, the balusters having a plain, square cross-section. This gave on to a single main room with a chimneybreast on either the northern or southern wall. The attic storey consisted of a single L-shaped space with the stair and landing enclosed by a partition wall.
The roof on each row of shops is a mansard with projecting eight-flue stacks on the line of the party wall between each pair of shops. The roof was recovered with concrete tiles in the late-twentieth century.
An arched alley, accessed by a door from the cellar of each shop, runs the full length of the arcade beneath the central footway.
The arcade has a Grade II* listing (Listed Building number 901-1/40/479).","(51.457846, -2.5903064)"
663M,"Myrtle Tree, 48 St. Thomas Street",359206,172616,House,PM1,Post-medieval 1540-1700,,,,,Gabled front,0,,Domestic,Dwelling,House,"21, St. Thomas Street",,,35391,"The Myrtle Tree public house, No.48 St. Thomas Street. The building, which stood on the east side of the street, was a three-storey, single-bay house with a front gable and pantiled roof. There was a shopfront at ground floor and the entrance was on the north side. There were sashes at first and second floor (attic) level. A chimney stack projected from the roof on the south side. The building appears to have been erected at the same time as Nos.47, 49 and 50, as part of the same development.
The public house went out of use between 1883 and 1888 and appears to have reverted to use as a private dwelling. It was empty by the end of nineteenth-century and was demolished soon after.","(51.451049, -2.5884486)"
86M,Temple Back Pottery,359398,172751,Pottery works,PM2,Post-medieval 1700-1900,,,,,Not recorded,0,,Industrial,Pottery manufacturing site,Pottery works,"Crescent Centre, Temple Back",,,35866,"Temple Back pottery, located to the east of Temple Church, on the far side of Petticoat Lane. Richard Frank left his pottery in Redcliff for this new location and seems to have amalgamated his business with the next door Water Lane pottery [BUAD 87M]. Joseph Ring took over the business in after marrying Frank's daughter Elizabeth and, with the help of Anthony Hassells, the pottery began to produce ""Queen's Ware,"" a cream -coloured earthenware, in 1786. Ring died in April 1788 and the business was taken over by his brother Robert Ring and Henry Carter. Joseph Ring II and John Decimus Pountney came into the partnership in 1813 and the firm traded as Pountney and Carter until Pountney's death in 1852. In 1822 the pottery consisted of ranges of buildings arranged around four kilns, two adjacent gloss kilns and two biscuit kilns. This arrangement was retained into the early 1880s when it was recorded by the 1:500 Ordnance Survey first edition plan. The throwing room was on the west side of the kilns while the Dripping and Placing Room, the Hot House and the Enamel kiln were on their north side. A yard separated these buildings from the Plate Makers, Dish Makers shops and the Gig Room. The Mill Houses and steam engine were along the south-east boundary of the site. The pottery closed in 1886 and the centre of the site had been redeveloped by August 1896 as a Day Industrial School. The site is now occupied by The Crescent Centre.","(51.452276, -2.5857012)"
324M,"Chapel of St. John, Baldwin Street",358905,172918,Chapel,Med,Medieval 1200-1540,,,,,Gabled,0,,"Religious, Ritual and Funerary",Place of worship,Chapel,"65, Baldwin Street",,,35298,"Chapel, or possibly a house known as the 'Chapel of St. John'. The building was located on the north side of Baldwin Street. Taken down 1819, when some drawings made by Mr.Henry Smith, later copied by Hugh O'Neill. The ground on which the chapel stood was, by 1822, covered by a warehouse in the occupation of a Leather Factor, then the third house from St.Nicholas Steps. 
O'Neill illustrated the inside of the east gable end and top of the wall. in the gable was a medieval-style window with two-centred arch; two cinquefoil-headed lights below a quatrefoil. A little distance below the inner sill were two plain corbels, with, slightly further out, two brackets. Beneath the window was a small opening, possibly a piscina, with cinquefoil head within a square top. Found in the building were the keystone from a fireplace (M2250), and portions of a chimney-piece or frieze (M2251-2255). Six corbels, all with human heads, were purchased by Mr.Attwood, drawn by O'Neill (M2287-2289), some used at Back Hall, one used as a keystone to an arch leading to Coronation Court, off Back Street.","(51.453742, -2.5928151)"
627M,"Hermitage, Redcliff Hill",359022,172330,Hermitage,Med,Medieval 1200-1540,,,,,Cut into cliff face,1,,"Religious, Ritual and Funerary",Hermitage,Hermitage,"Quaker Burial Ground, Redcliff Hill",,,35374,"The hermitage, Redcliff Hill, located at the south end of the Redcliff Pit burial ground. The hermitage was associated with the hospital of St. John the Baptist (BUAD 1055M) and was in existence by the fourteenth century. It was recorded, in passing, by William Worcestre in 1480 as lying to the west [sic] of the hospital's church (Neale 2000, 248-249) and was located in a garden, known as Redrock Garden (Leech 2001) which became a burial for the Society of Friends in the seventeenth century.
The hermitage is a small chamber cut into the sandstone cliff and appears never to have been the subject of archaeological recording. Taylor, visiting the monument in 1878 (BUAD 2465), noted that it was ""entire and unaltered"" with the original arch over the entrance. It had two seats cut out of the rock (Maclean 1878-79, 7-8). Of these only one is now evident and the rear part of the hermitage was cut away to create the foundations for the Coliseum public house in Redcliffe Parade East. A seventeenth-century freestone memorial is fixed to the north wall of the monument.
The hermitage is a Scheduled Ancient Monument (AV103).","(51.448464, -2.5910631)"
1860M,Strip fields,361950,168650,Lynchets,,,,,,, ,0,,Agriculture and subsistence,Cultivation Marks,Strip Lynchet, ,,,38625,Up and down lynchets at right angles to contours  December 1946 (CPE-UK-1869-4174?).,"(51.415582, -2.5485348)"
1861M,"Lynchets and possible pillow mound, north of Pond Field Farm",361600,176900,Lynchets,Med,Medieval 1200-1540,,,,, ,0,,Agriculture and subsistence,Cultivation Marks,Strip Lynchet, ,,,38625,"Confirmed lynchets, but one mound between ST61557682 and ST61587696 may be along pillow mound without side ditches.","(51.489735, -2.5544657)"
426M,The White Lodge,358607,173254,House,PM1,Post-medieval 1540-1700,,,,,Cross-gabled,0,,Domestic,Dwelling,House,Colston Street,,,35320,"The White Lodge, located some 17 metres to the south-east of Upper Maudlin Street. The building was constructed c.1588 as one of two lodges to the gardens of the Sir John Yonge's Great House (BUAD 420M) in St. Augustine's Back which extended from Trenchard Street across Stony Hill. The building was of three-storeys with a cross-gabled roof and a turret on the west side. In plan it measured 8 metres from south-west to north-east and was 6.8 metres wide. The south-east facing elevation had a two-window range with two gables. At ground floor the fenestration consisted of a four-light window. There was a three-light window at first-floor level and a two-light window in the attics. All of the windows had stone hood moulds above. The south-west facing elevation had a single gable, small windows lighting the attic and a single-flue chimneystack at the apex of the gable. The turret at the north--west corner of the building was octagonal with crenellations around the top and contained a spiral stair. There was another chimneystack at the centre of the roof. The main entrance to the building appears to have been at the western end of the north-west facing elevation. This led to into a lobby which gave on to the stair in the turret and the three ground-floor rooms, two on the south side of the building and the third at the north-east corner. In the corner of one of the rooms there was a stone chimney-piece bearing the date 1588. Above was a pair of compasses surmounted by a dove carrying an olive branch in its beak (Braikenridge Notes A32).
The antiquarian G. W. Braikenridge records that in the 1820s the building was occupied by a Mr. Willcocks, who had lived there for twenty years. The chimneypiece was extant in June 1823 although the tower had been subject to ""much"" alteration in the period of Willcock's residence (Braikenridge Notes A32). The building was still standing in the later 1860s (Winstone 1971, pl.27) but had been demolished by the early 1880s. No record appears to have been made of the building before its demolition although there are watercolour drawings of the 1820s by T. L. Rowbotham (BRSMG M2562) and Samuel Jackson (BRSMG M2577). It is also visible in some early photographs of this part of Bristol.","(51.456742, -2.597143)"
3100M,"Canteen at National Filling Factory No.23, Chittening",352900,181150,Canteen,Mod,Modern 1900-,,,,, ,0,,Unassigned,Building,Canteen,Smoke Lane,,,38786,"Canteen at National Filling Factory No.23, Chittening, located on the southern side of Smoke Lane. The building was constructed in 1918 and is recorded by a plan in the National Archives (MUN 4/1753) dated 27 November 1918. The building measured approximately 53 metres from east to west, was 43 metres wide and had a series of northlight roofs.
The building was extant in 1946 but was subsequently demolished.","(51.527286, -2.680332)"
2505M,"House on the north side of Brewer's Place, Bedminster",358823,171794,House,PM2,Post-medieval 1700-1900,,,,, ,0,,Domestic,Dwelling,House,Bedminster Parade,,,38625,"House located on the north side of Brewer's Place. The building formed the north side of Brewer's Place, and was a small single-bay, two-storey building with a hipped pantile roof. The ground floor elevation has a large four by three pane window while in the first floor was a single sash. The entrance door was at the western end of the south side of the building in Brewer's Place. The façade of the building appears to be of early nineteenth-century date but may in fact have been a refronting of a much earlier structure, possibly of post-medieval or earlier date.","(51.44363, -2.593864)"
2506M,"White Hart, Bedminster Parade",358825,171800,Public house,PM2,Post-medieval 1700-1900,,,,, ,0,,Commercial,Licensed premises,Public house,Bedminster Parade,,,38625,"The White Hart public house, located on the eastern side of Bedminster Parade. The two-bay building was of three storeys with a rendered elevation to Bedminster Parade. The ground floor had a double door at the north of the elevation and another towards the south end. There was a single storey extension to the south end of the building. There was also a projecting chimney stack in the middle of the south wall which appears to have been set within the extension at ground floor.","(51.443684, -2.5938359)"
2507M,"Hollybrook Brick Works, Clarence Road, St. George",363720,174540,Brickworks,PM2,Post-medieval 1700-1900,,,,, ,0,,Industrial,Brick and tilemaking site,Brickworks,Clarence Road,,,38625,Brick works located 170 metres to the north of Clarence Road. The Ordnance Survey first edition 1:2500 plan (Gloucester Sheet LXXII.10) surveyed in 1881 records three kilns and there was a clay pit 30 metres to the north of the main building (at ST 63740 74588). The site has been redeveloped.,"(51.468656, -2.5236896)"
2508M,"Bourne Chapel, Two Mile Hill Road",364290,173912,Methodist chapel,PM2,Post-medieval 1700-1900,,,,, ,0,,"Religious, Ritual and Funerary",Methodist chapel,Primitive methodist chapel,Two Mile Hill Road,,,38625,"Bourne Chapel, located on the south side of Two Mile Hill Road. The Ordnance Survey first edition 1:2500 plan (Gloucester Sheet LXXII.15) published in 1882 records the chapel as a Primitive Methodist chapel.","(51.463046, -2.5154204)"
2509M,"The Chequers, Lodge Road",364354,174334,Public house,PM2,Post-medieval 1700-1900,,,,, ,0,,Commercial,Licensed premises,Public house,Lodge Road,,,38625,"The Chequers public house, located on the west side of Lodge Road. The building is recorded by the Ordnance Survey first edition 1:2500 plan (Gloucester Sheet LXXII.15) published in 1882 but it would appear to have been demolished by the time the second edition plan was published in 1903.","(51.466844, -2.5145419)"
2511M,"Boot and Shoe Factory, Lodge Road",364330,174130,Shoe factory,Mod,Modern 1900-,,,,, ,0,,Industrial,Clothing factory,Shoe factory,Lodge Road,,,38625,Boot and shoe factory located on the west side of Lodge Road. The factory was constructed in the late-nineteenth or very early-twentieth century.,"(51.465008, -2.5148668)"
